ID,condition,trial,phase,object,choice
1,BB,main,Phase 1,A,0.918
2,BB,main,Phase 1,B,0.918
3,BB,main,Phase 1,C,0.877
4,BB,main,Phase 2,A,0.918
5,BB,main,Phase 2,B,0.918
6,BB,main,Phase 2,C,0.877
7,BB,main,Phase 1,A,0.918
8,BB,main,Phase 1,B,0.918
9,BB,main,Phase 1,C,0.877
10,BB,main,Phase 2,A,0.918
11,BB,main,Phase 2,B,0.918
12,BB,main,Phase 2,C,0.877
13,BB,main,Phase 1,A,0.918
14,BB,main,Phase 1,B,0.918
15,BB,main,Phase 1,C,0.877
16,BB,main,Phase 2,A,0.918
17,BB,main,Phase 2,B,0.918
18,BB,main,Phase 2,C,0.877
19,BB,main,Phase 1,A,0.918
20,BB,main,Phase 1,B,0.918
21,BB,main,Phase 1,C,0.877
22,BB,main,Phase 2,A,0.918
23,BB,main,Phase 2,B,0.918
24,BB,main,Phase 2,C,0.877
25,BB,main,Phase 1,A,0.918
26,BB,main,Phase 1,B,0.918
27,BB,main,Phase 1,C,0.877
28,BB,main,Phase 2,A,0.918
29,BB,main,Phase 2,B,0.918
30,BB,main,Phase 2,C,0.877
31,BB,main,Phase 1,A,0.918
32,BB,main,Phase 1,B,0.918
33,BB,main,Phase 1,C,0.877
34,BB,main,Phase 2,A,0.918
35,BB,main,Phase 2,B,0.918
36,BB,main,Phase 2,C,0.877
37,BB,main,Phase 1,A,0.918
38,BB,main,Phase 1,B,0.918
39,BB,main,Phase 1,C,0.877
40,BB,main,Phase 2,A,0.918
41,BB,main,Phase 2,B,0.918
42,BB,main,Phase 2,C,0.877
43,BB,main,Phase 1,A,0.918
44,BB,main,Phase 1,B,0.918
45,BB,main,Phase 1,C,0.877
46,BB,main,Phase 2,A,0.918
47,BB,main,Phase 2,B,0.918
48,BB,main,Phase 2,C,0.877
49,BB,main,Phase 1,A,0.918
50,BB,main,Phase 1,B,0.918
51,BB,main,Phase 1,C,0.877
52,BB,main,Phase 2,A,0.918
53,BB,main,Phase 2,B,0.918
54,BB,main,Phase 2,C,0.877
55,BB,main,Phase 1,A,0.918
56,BB,main,Phase 1,B,0.918
57,BB,main,Phase 1,C,0.877
58,BB,main,Phase 2,A,0.918
59,BB,main,Phase 2,B,0.918
60,BB,main,Phase 2,C,0.877
61,BB,main,Phase 1,A,0.918
62,BB,main,Phase 1,B,0.918
63,BB,main,Phase 1,C,0.877
64,BB,main,Phase 2,A,0.918
65,BB,main,Phase 2,B,0.918
66,BB,main,Phase 2,C,0.877
67,BB,main,Phase 1,A,0.918
68,BB,main,Phase 1,B,0.918
69,BB,main,Phase 1,C,0.877
70,BB,main,Phase 2,A,0.918
71,BB,main,Phase 2,B,0.918
72,BB,main,Phase 2,C,0.877
73,BB,main,Phase 1,A,0.918
74,BB,main,Phase 1,B,0.918
75,BB,main,Phase 1,C,0.877
76,BB,main,Phase 2,A,0.918
77,BB,main,Phase 2,B,0.918
78,BB,main,Phase 2,C,0.877
79,BB,main,Phase 1,A,0.918
80,BB,main,Phase 1,B,0.918
81,BB,main,Phase 1,C,0.877
82,BB,main,Phase 2,A,0.918
83,BB,main,Phase 2,B,0.918
84,BB,main,Phase 2,C,0.877
85,BB,main,Phase 1,A,0.918
86,BB,main,Phase 1,B,0.918
87,BB,main,Phase 1,C,0.877
88,BB,main,Phase 2,A,0.918
89,BB,main,Phase 2,B,0.918
90,BB,main,Phase 2,C,0.877
91,BB,main,Phase 1,A,0.918
92,BB,main,Phase 1,B,0.918
93,BB,main,Phase 1,C,0.877
94,BB,main,Phase 2,A,0.918
95,BB,main,Phase 2,B,0.918
96,BB,main,Phase 2,C,0.877
97,BB,control,Phase 1,A,0.877
98,BB,control,Phase 1,B,0.877
99,BB,control,Phase 1,C,0.877
100,BB,control,Phase 1,D,0.877
101,BB,control,Phase 1,E,0.877
102,BB,control,Phase 2,A,0.877
103,BB,control,Phase 2,B,0.877
104,BB,control,Phase 2,C,0.877
105,BB,control,Phase 2,D,0.877
106,BB,control,Phase 2,E,0.877
107,BB,control,Phase 1,A,0.877
108,BB,control,Phase 1,B,0.877
109,BB,control,Phase 1,C,0.877
110,BB,control,Phase 1,D,0.877
111,BB,control,Phase 1,E,0.877
112,BB,control,Phase 2,A,0.877
113,BB,control,Phase 2,B,0.877
114,BB,control,Phase 2,C,0.877
115,BB,control,Phase 2,D,0.877
116,BB,control,Phase 2,E,0.877
117,BB,control,Phase 1,A,0.877
118,BB,control,Phase 1,B,0.877
119,BB,control,Phase 1,C,0.877
120,BB,control,Phase 1,D,0.877
121,BB,control,Phase 1,E,0.877
122,BB,control,Phase 2,A,0.877
123,BB,control,Phase 2,B,0.877
124,BB,control,Phase 2,C,0.877
125,BB,control,Phase 2,D,0.877
126,BB,control,Phase 2,E,0.877
127,BB,control,Phase 1,A,0.877
128,BB,control,Phase 1,B,0.877
129,BB,control,Phase 1,C,0.877
130,BB,control,Phase 1,D,0.877
131,BB,control,Phase 1,E,0.877
132,BB,control,Phase 2,A,0.877
133,BB,control,Phase 2,B,0.877
134,BB,control,Phase 2,C,0.877
135,BB,control,Phase 2,D,0.877
136,BB,control,Phase 2,E,0.877
137,BB,control,Phase 1,A,0.877
138,BB,control,Phase 1,B,0.877
139,BB,control,Phase 1,C,0.877
140,BB,control,Phase 1,D,0.877
141,BB,control,Phase 1,E,0.877
142,BB,control,Phase 2,A,0.877
143,BB,control,Phase 2,B,0.877
144,BB,control,Phase 2,C,0.877
145,BB,control,Phase 2,D,0.877
146,BB,control,Phase 2,E,0.877
147,BB,control,Phase 1,A,0.877
148,BB,control,Phase 1,B,0.877
149,BB,control,Phase 1,C,0.877
150,BB,control,Phase 1,D,0.877
151,BB,control,Phase 1,E,0.877
152,BB,control,Phase 2,A,0.877
153,BB,control,Phase 2,B,0.877
154,BB,control,Phase 2,C,0.877
155,BB,control,Phase 2,D,0.877
156,BB,control,Phase 2,E,0.877
157,BB,control,Phase 1,A,0.877
158,BB,control,Phase 1,B,0.877
159,BB,control,Phase 1,C,0.877
160,BB,control,Phase 1,D,0.877
161,BB,control,Phase 1,E,0.877
162,BB,control,Phase 2,A,0.877
163,BB,control,Phase 2,B,0.877
164,BB,control,Phase 2,C,0.877
165,BB,control,Phase 2,D,0.877
166,BB,control,Phase 2,E,0.877
167,BB,control,Phase 1,A,0.877
168,BB,control,Phase 1,B,0.877
169,BB,control,Phase 1,C,0.877
170,BB,control,Phase 1,D,0.877
171,BB,control,Phase 1,E,0.877
172,BB,control,Phase 2,A,0.877
173,BB,control,Phase 2,B,0.877
174,BB,control,Phase 2,C,0.877
175,BB,control,Phase 2,D,0.877
176,BB,control,Phase 2,E,0.877
177,BB,control,Phase 1,A,0.877
178,BB,control,Phase 1,B,0.877
179,BB,control,Phase 1,C,0.877
180,BB,control,Phase 1,D,0.877
181,BB,control,Phase 1,E,0.877
182,BB,control,Phase 2,A,0.877
183,BB,control,Phase 2,B,0.877
184,BB,control,Phase 2,C,0.877
185,BB,control,Phase 2,D,0.877
186,BB,control,Phase 2,E,0.877
187,BB,control,Phase 1,A,0.877
188,BB,control,Phase 1,B,0.877
189,BB,control,Phase 1,C,0.877
190,BB,control,Phase 1,D,0.877
191,BB,control,Phase 1,E,0.877
192,BB,control,Phase 2,A,0.877
193,BB,control,Phase 2,B,0.877
194,BB,control,Phase 2,C,0.877
195,BB,control,Phase 2,D,0.877
196,BB,control,Phase 2,E,0.877
197,BB,control,Phase 1,A,0.877
198,BB,control,Phase 1,B,0.877
199,BB,control,Phase 1,C,0.877
200,BB,control,Phase 1,D,0.877
201,BB,control,Phase 1,E,0.877
202,BB,control,Phase 2,A,0.877
203,BB,control,Phase 2,B,0.877
204,BB,control,Phase 2,C,0.877
205,BB,control,Phase 2,D,0.877
206,BB,control,Phase 2,E,0.877
207,BB,control,Phase 1,A,0.877
208,BB,control,Phase 1,B,0.877
209,BB,control,Phase 1,C,0.877
210,BB,control,Phase 1,D,0.877
211,BB,control,Phase 1,E,0.877
212,BB,control,Phase 2,A,0.877
213,BB,control,Phase 2,B,0.877
214,BB,control,Phase 2,C,0.877
215,BB,control,Phase 2,D,0.877
216,BB,control,Phase 2,E,0.877
217,BB,control,Phase 1,A,0.877
218,BB,control,Phase 1,B,0.877
219,BB,control,Phase 1,C,0.877
220,BB,control,Phase 1,D,0.877
221,BB,control,Phase 1,E,0.877
222,BB,control,Phase 2,A,0.877
223,BB,control,Phase 2,B,0.877
224,BB,control,Phase 2,C,0.877
225,BB,control,Phase 2,D,0.877
226,BB,control,Phase 2,E,0.877
227,BB,control,Phase 1,A,0.877
228,BB,control,Phase 1,B,0.877
229,BB,control,Phase 1,C,0.877
230,BB,control,Phase 1,D,0.877
231,BB,control,Phase 1,E,0.877
232,BB,control,Phase 2,A,0.877
233,BB,control,Phase 2,B,0.877
234,BB,control,Phase 2,C,0.877
